GREATBALL(POKEBALL, CHESTOBERRY)
ULTRABALL(POKEBALL, KIWIBERRY)
NESTBALL(POKEBALL, LEPPABERRY)
REPEATBALL(POKEBALL, IAPAPABERRY)
TIMERBALL(POKEBALL, MAGOBERRY)
NETBALL(POKEBALL, PASSHOBERRY)
LUXURYBALL(POKEBALL, FIGYBERRY)
HEALBALL(POKEBALL, SITRUSBERRY)
QUICKBALL(POKEBALL, TAMATOBERRY)
DUSKBALL(POKEBALL, COLBURBERRY)
SILVABALL(POKEBALL, RINDOBERRY)
TERRORBALL(POKEBALL, COLBURBERRY)
MITOBALL(POKEBALL, HABANBERRY)
XENOBALL(POKEBALL, EDENBERRY)
POTION(ORANGEBERRY, ORANGEBERRY)
SUPERPOTION(POTION, HONEY)
HYPERPOTION(SUPERPOTION, SITRUSBERRY)
MAXPOTION(HYPERPOTION, SITRUSBERRY)
FULLRESTORE(MAXPOTION, FULLHEAL)
REVIVE(SITRUSBERRY, LUMBERRY)
MAXREVIVE(REVIVE, FULLRESTORE)
MAXETHER(ETHER, HONEY)
ELIXIR(ETHER, FULLHEAL)
MAXELIXIR(ELIXIR, HONEY)
SUPERREPEL(REPEL, HONEY)
MAXREPEL(SUPERREPEL, HONEY)

